data,casi_totali,casi_sanitari_totali
24 giugno 2020,239821,29323
26 giugno 2020,239680,29353
27 giugno 2020,239942,29404
28 giugno 2020,240042,29439
29 giugno 2020,240270,29454
30 giugno 2020,240455,29476
01 luglio 2020,240576,29498
02 luglio 2020,240748,29506
ND,ND,ND
05 luglio 2020,241394,29548
08 luglio 2020,241982,29596
09 luglio 2020,242173,29636
10 luglio 2020,242408,29672
12 luglio 2020,227421,26840
14 luglio 2020,243316,29768
15 luglio 2020,243436,29774
16 luglio 2020,243629,29780
19 luglio 2020,244253,29850
20 luglio 2020,244509,29860
21 luglio 2020,244708,29866
22 luglio 2020,244851,29878
23 luglio 2020,245126,29896
24 luglio 2020,245404,29922
25 luglio 2020,245724,29957
26 luglio 2020,245966,29977
27 luglio 2020,246153,29994
28 luglio 2020,246428,30009
29 luglio 2020,246602,30023
30 luglio 2020,246788,30039
31 luglio 2020,247284,30061
03 agosto 2020,248091,30176
04 agosto 2020,248343,30210
05 agosto 2020,248672,30236
06 agosto 2020,249047,30269
07 agosto 2020,249458,30291
08 agosto 2020,249901,30347
09 agosto 2020,250195,30275
10 agosto 2020,250495,30289
11 agosto 2020,250973,30306
12 agosto 2020,251377,30322
13 agosto 2020,251814,30337
14 agosto 2020,252437,30351
15 agosto 2020,252979,30363
16 agosto 2020,253275,30374
17 agosto 2020,253619,30383
18 agosto 2020,254283,30415
19 agosto 2020,254818,30433
19 agosto 2020,254818,30433
20 agosto 2020,255534,30457
21 agosto 2020,256336,30478
22 agosto 2020,257035,30512
23 agosto 2020,257834,30526
24 agosto 2020,258742,30556
25 agosto 2020,260307,30609
26 agosto 2020,261185,30632
27 agosto 2020,262638,30670
28 agosto 2020,263883,30725
29 agosto 2020,265259,30776
30 agosto 2020,266211,30811
31 agosto 2020,267282,30835
02 settembre 2020,269897,30887
03 settembre 2020,271036,30927
04 settembre 2020,272714,30980
05 settembre 2020,274427,31031
06 settembre 2020,275703,31085
07 settembre 2020,276647,31138
08 settembre 2020,278593,31189
09 settembre 2020,279871,31229
10 settembre 2020,281008,31278
10 settembre 2020,281008,31278
11 settembre 2020,282615,31302
12 settembre 2020,284768,31362
13 settembre 2020,285676,31395
14 settembre 2020,286522,31435
15 settembre 2020,288723,31515
16 settembre 2020,289683,31546
17 settembre 2020,291240,31598
18 settembre 2020,293810,31679
19 settembre 2020,294326,31709
20 settembre 2020,295368,31767
22 settembre 2020,299004,31897
23 settembre 2020,300363,31947
24 settembre 2020,301863,32009
ND,ND,ND
25 settembre 2020,303654,32081
26 settembre 2020,305513,32130
27 settembre 2020,306639,32167
28 settembre 2020,308163,32258
29 settembre 2020,310674,32337
30 Settembre 2020,311689,32376
01 Ottobre 2020,314075,32449
02 ottobre 2020,316367,32542
03 ottobre 2020,318065,32615
04 ottobre 2020,320459,32726
05 ottobre 2020,322673,32852
06 ottobre 2020,327376,33040
07 Ottobre 2020,329784,33180
08 ottobre 2020,333642,32551
09 ottobre 2020,336194,32655
10 ottobre 2020,342012,32881
11 ottobre 2020,344893,32952
12 ottobre 2020,351242,33167
13 ottobre 2020,358499,33399
14 Ottobre 2020,363501,33587
16 ottobre 2020,380506,34302
17 ottobre 2020,386500,34570
18 ottobre 2020,394844,34826
19 ottobre 2020,406858,35132
20 ottobre 2020,419759,35545
21 Ottobre 2020,429549,35913
22 ottobre 2020,441960,36338
23 ottobre 2020,453741,36917
24 ottobre 2020,476541,37583
25 ottobre 2020,487921,38021
26 ottobre 2020,514491,38708
27 ottobre 2020,538324,39578
28 ottobre 2020,547532,40168
29 ottobre 2020,566091,40896
30 ottobre 2020,594472,42071
31 ottobre 2020,630404,43627
01 novembre 2020,632092,43698
02 novembre 2020,673062,44511
03 novembre 2020,721436,43618
04 novembre 2020,741622,46145
05 novembre 2020,774721,47296
06 novembre 2020,808572,48308
07 novembre 2020,844579,49382
08 novembre 2020,869647,49867
09 novembre 2020,891563,50759
10 novembre 2020,943004,52169
11 novembre 2020,979975,53276
12 novembre 2020,1001118,53975
13 novembre 2020,1039639,55229
14 novembre 2020,1070524,55886
15 novembre 2020,1112264,57142
16 novembre 2020,1147325,58180
17 novembre 2020,1183957,58955
18 novembre 2020,1231367,60242
19 novembre 2020,1257146,60897
20 novembre 2020,1282268,61663
21 novembre 2020,1325217,63176
22 novembre 2020,1354146,63660
23 novembre 2020,1378394,64475
24 novembre 2020,1413194,65224
25 novembre 2020,1454529,66618
26 novembre 2020,1473607,67294
27 novembre 2020,1502568,68072
28 novembre 2020,1522666,68882
29 novembre 2020,1545867,69582
30 novembre 2020,1561010,70164
01 dicembre 2020,1595036,71281
02 dicembre 2020,1624269,72153
03 dicembre 2020,1634048,72572
04 dicembre 2020,1651705,73390
05 dicembre 2020,1676806,74257
06 dicembre 2020,1692631,75095
07 dicembre 2020,1712120,75746
08 dicembre 2020,1737249,76789
09 dicembre 2020,1754715,77726
10 dicembre 2020,1763814,78068
11 dicembre 2020,1783687,79439
12 dicembre 2020,1792671,79809
17 dicembre 2020,1876316,83580
18 dicembre 2020,1894161,84333
19 dicembre 2020,1911198,85282
21 dicembre 2020,1952305,86858
22 dicembre 2020,1963023,86958
23 dicembre 2020,1977056,87601
24 dicembre 2020,1988185,88697
25 dicembre 2020,1998255,89140
26 dicembre 2020,2012420,89650
27 dicembre 2020,2019660,89879
28 dicembre 2020,2032953,90428
29 dicembre 2020,2049934,91270
30 dicembre 2020,2059153,91711
31 dicembre 2020,2073375,92215
01 gennaio 2021,2092825,92922
02 gennaio 2021,2104040,93323
03 gennaio 2021,2119886,93648
04 gennaio 2021,2138573,94560
05 gennaio 2021,2159766,95451
07 gennaio 2021,2195266,96773
08 gennaio 2021,2209966,97238
09 gennaio 2021,2226118,97898
10 gennaio 2021,2237692,98149
11 gennaio 2021,2257191,98677
12 gennaio 2021,2274601,99385
13 gennaio 2021,2296451,100266
14 gennaio 2021,2306749,100743
15 gennaio 2021,2317616,101212
16 gennaio 2021,2333721,101892
17 gennaio 2021,2343069,102290
